P. Name,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Omega (deg),S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method
1RXS 1609 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,4451.16,19.04,0.64,12.28,15.29,4.08e-06,4.08e-06,4.08e-06,11.4,11.4,11.4,2870.4,-10.06,36.81,720.5573964013066,330.0,0.0,330.0,0.0,Sco,K7V,0.73,1.35,4060.0,0.44428500000000004,-0.06071394910461842,0.011000000000000001,12.237222991689753,145.0,16.1583,-21.0828,-13.2,0.0022,1,0,0.54,1.3619999999999999,800.07,23.51,85.62,0.0,0.05,0,0,0,1,Imaging
1SWASP J1407 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,6358.8,10.94,4.86,53.12,24.11,0.02166914,0.02166914,0.02166914,97.7,97.7,97.7,30873.8,-18.21,20.91,3725.0,3.9,0.0,3.9,0.0,Cen,K,0.9,0.99,4400.0,0.329588,-0.06071394910461842,0.016,12.4,133.0,14.13,-39.7619,-22.5,0.1353,1,0,0.461,1.143,9.07,15.3,45.41,0.02,0.07,0,0,0,1,Primary Transit
2M 0103-55(AB) b,Cold,Jovian,gas,hydrogen-rich,non-habitable,4133.22,11.4,2.79,31.79,19.04,3.96e-06,3.96e-06,3.96e-06,11.4,11.4,11.4,11520.8,-8.91,21.8,720.5573964013066,84.0,0.0,84.0,0.0,Phe,M,0.4,0.38,3840.0,0.027955,-0.06071394910461842,0.03,12.237222991689753,47.2,1.06,-55.2656,-13.2,0.0024,1,0,0.136,0.34700000000000003,793.67,12.57,107.44,0.0,0.06,0,0,0,1,Imaging
2M 0122-24 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,6358.8,11.2,4.53,50.69,23.83,1.0300000000000001e-05,1.0300000000000001e-05,1.0300000000000001e-05,14.4,14.4,14.4,28780.4,-9.92,21.41,720.5573964013066,52.0,0.0,52.0,0.0,Cet,M3.5,0.4,0.38,3840.0,0.027955,-0.06071394910461842,0.12,12.237222991689753,36.0,1.3808,-24.6142,-14.2,0.0039,1,0,0.136,0.34700000000000003,490.45,15.72,119.46,0.0,0.08,0,0,0,1,Imaging
2M 0219-39 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,4419.37,16.13,1.05,16.99,16.55,2.37e-07,2.37e-07,2.37e-07,5.6,5.6,5.6,4655.6,-6.6,31.03,720.5573964013066,156.0,0.0,156.0,0.0,For,M6,0.11,0.27,3064.0,0.005765,-0.06071394910461842,4.205140795802378,12.237222991689753,39.4,2.3228,-39.4231,-10.1,0.0009,1,0,0.062,0.165,3028.82,19.46,133.25,0.0,0.06,0,0,0,1,Imaging
2M 0441+23 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,2384.55,11.66,1.5,17.53,14.3,1.26e-07,1.26e-07,1.26e-07,4.8,4.8,4.8,3585.2,-5.21,22.3,720.5573964013066,15.0,0.0,15.0,0.0,Tau,M8.5,0.02,0.01,3840.0,2.8000000000000003e-05,-0.06071394910461842,0.001,12.237222991689753,140.0,4.6958,23.0308,-9.4,0.0004,1,0,0.004,0.011000000000000001,4453.14,10.21,124.39,0.0,0.07,0,0,0,1,Imaging
2M 0746+20 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,9538.2,10.86,7.44,80.81,29.63,9.06e-06,2.2899999999999998e-05,7.609999999999999e-05,14.0,16.8,23.8,70951.8,-10.87,20.76,4640.0,2.897,0.49,2.53,354.4,Gem,G,0.12,0.09,2205.0,0.000168,-0.06071394910461842,4.205140795802378,12.237222991689753,12.21,7.7786,20.0089,-15.2,0.0187,1,0,0.011000000000000001,0.028999999999999998,325.42,20.19,132.41,0.0,0.08,0,0,0,1,Imaging
2M 1207-39 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,1271.76,11.66,0.8,9.36,10.44,2.74e-08,2.74e-08,2.74e-08,3.3,3.3,3.3,1020.6,-3.53,22.3,720.5573964013066,46.0,0.0,46.0,0.0,Cen,M8,0.03,0.02,3840.0,5.7999999999999994e-05,-0.06071394910461842,0.008,20.1,52.4,12.1258,-39.5483,-7.7,0.0002,1,0,0.006,0.016,9575.68,8.56,109.81,0.0,0.08,0,0,0,1,Imaging
2M 1938+46 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,604.09,11.21,0.43,4.81,7.34,0.1531191,0.1531191,0.1531191,159.4,159.4,159.4,259.4,-20.4,21.42,416.0,0.92,0.0,0.92,0.0,Cyg,sdB+M,0.6,1.4933198489751924,5466.089986504723,0.1296,-0.06071394910461842,4.205140795802378,12.237222991689753,608.4120264650286,19.6425,46.0664,-24.7,6.967479314994602,1,0,0.9691419703103896,2.3139276653171454,2.51,7.35,9.51,0.08,0.24,0,0,0,1,Pulsar
2M 2140+16 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,6358.8,10.3,5.81,59.89,24.84,1.27e-05,2.09e-05,3.68e-05,15.2,17.0,19.8,36960.1,-10.54,19.68,7340.0,3.53,0.26,3.41,223.0,Peg,G,0.08,0.1,2300.0,0.000251,-0.06071394910461842,4.205140795802378,12.237222991689753,25.0,21.6747,16.4217,-15.0,0.0156,1,0,0.013000000000000001,0.035,316.89,14.27,113.5,0.0,0.08,0,0,0,1,Imaging
2M 2206-20 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,9538.2,14.56,3.09,44.99,25.59,1.65e-05,1.65e-05,1.65e-05,16.2,16.2,16.2,29474.7,-11.0,27.95,8686.0,4.48,0.0,4.48,0.0,Aqr,G,0.13,0.11,2350.0,0.000331,-0.06071394910461842,4.205140795802378,12.237222991689753,26.67,22.1064,-20.785,-14.7,0.0131,1,0,0.015,0.040999999999999995,347.42,27.82,121.07,0.0,0.06,0,0,0,1,Imaging
2M 2236+4751 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,3974.25,11.43,2.66,30.4,18.64,7.43e-07,7.43e-07,7.43e-07,7.5,7.5,7.5,10567.3,-7.09,21.86,720.5573964013066,230.0,0.0,230.0,0.0,Lac,K7,0.6,0.25,5150.0,0.039326,-0.06071394910461842,0.12,12.5,63.0,22.6069,47.8619,-11.3,0.0006,1,0,0.154,0.371,2122.87,12.37,130.05,0.0,0.06,0,0,0,1,Imaging
2MASS J1450-7841 Ab,Cold,Jovian,gas,hydrogen-rich,non-habitable,12717.6,9.75,13.73,133.83,36.12,1.56e-09,1.56e-09,1.56e-09,1.6,1.6,1.6,174590.9,-0.02,18.61,720.5573964013066,300.0,0.0,300.0,0.0,Aps,M9p,0.04,0.03,3840.0,0.00014,-0.06071394910461842,4.205140795802378,12.237222991689753,75.0,14.8447,-78.6939,-4.6,0.0,1,0,0.01,0.025,40152.3,22.78,550.24,0.0,0.04,0,0,0,1,Imaging
2MASS J1450-7841 Bb,Cold,Jovian,gas,hydrogen-rich,non-habitable,12717.6,9.75,13.73,133.83,36.12,1.56e-09,1.56e-09,1.56e-09,1.6,1.6,1.6,174590.9,-0.02,18.61,720.5573964013066,300.0,0.0,300.0,0.0,Aps,M8p,0.04,0.03,3840.0,0.00014,-0.06071394910461842,4.205140795802378,12.237222991689753,75.0,14.845,-78.6947,-4.6,0.0,1,0,0.01,0.025,40152.3,22.78,550.24,0.0,0.04,0,0,0,1,Imaging
2M J2126-81 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,4228.6,11.38,2.87,32.62,19.27,7.82e-09,7.82e-09,7.82e-09,2.4,2.4,2.4,12117.6,-2.12,21.77,720.5573964013066,6900.0,0.0,6900.0,0.0,Oct,M2,0.4,1.39,3840.0,0.372521,-0.06071394910461842,0.027000000000000003,9.0,24.75,21.4244,-81.6411,-6.4,0.0001,1,0,0.49700000000000005,1.2670000000000001,17908.75,12.7,238.96,0.0,0.06,0,0,0,1,Imaging
4 Uma b,Hot,Jovian,gas,hydrogen-rich,non-habitable,2257.37,11.67,1.42,16.57,13.91,72.05381,163.7823,457.8407,742.3,877.3,1178.5,3205.8,-28.21,22.32,269.3,0.87,0.43,0.78,23.8,UMa,K1III,1.23,18.11,4415.0,111.801993,-0.25,4.604,5.8,78.5,8.6703,64.3281,-32.4,12.3239,1,0,8.48,21.034000000000002,-2.21,10.03,7.06,0.07,0.07,0,0,0,1,Radial Velocity
7 CMa b,Warm,Jovian,gas,hydrogen-rich,non-habitable,782.13,11.44,0.52,5.98,8.27,0.4514996,0.6887656,1.104356,208.8,230.0,261.2,408.7,-22.11,21.87,796.0,1.93,0.22,1.88,77.0,CMa,K1 III,1.52,2.3,4792.0,2.502723,0.21,4.205140795802378,4.0,19.75,6.6114,-19.2558,-26.4,0.6509999999999999,1,1,1.251,3.05,-0.23,7.72,8.73,0.08,0.42,0,0,0,1,Radial Velocity
8 Umi b,Hot,Jovian,gas,hydrogen-rich,non-habitable,476.91,10.92,0.37,4.0,6.61,179.9768,202.5754,228.8484,933.1,960.5,990.9,174.8,-28.19,20.86,93.4,0.49,0.06,0.49,91.0,UMi,K0,1.8,9.9,4847.4,48.550717,-0.03,1.7,6.8,159.1,14.9467,74.9008,-32.5,10.8025,1,0,5.496,13.370999999999999,-2.27,7.02,2.39,0.11,0.11,0,0,0,1,Radial Velocity
11 Com b,Hot,Jovian,gas,hydrogen-rich,non-habitable,6168.04,10.98,4.66,51.15,23.7,64.95758000000001,101.1515,166.4222,723.3,799.7,915.1,28729.5,-27.47,20.99,326.03,1.29,0.23,1.26,94.8,Com,G8 III,2.7,19.0,4742.0,163.77336200000002,-0.35,4.205140795802378,4.7,110.6,12.3453,17.7928,-31.8,8.074,1,0,10.14,24.781,-2.21,15.07,14.33,0.05,0.06,0,0,0,1,Radial Velocity
11 Oph b,Cold,Jovian,gas,hydrogen-rich,non-habitable,6676.74,10.87,5.19,56.47,24.78,2.97e-10,2.97e-10,2.97e-10,1.1,1.1,1.1,34672.8,1.55,20.78,730000.0,243.0,0.0,243.0,0.0,Sco,M9,0.02,0.02,2375.0,1.8e-05,-0.06071394910461842,0.011000000000000001,12.237222991689753,145.0,16.3736,-24.0872,-2.8,0.0001,1,0,0.003,0.009000000000000001,82422.85,15.68,464.12,0.0,0.05,0,0,0,1,Imaging
11 UMi b,Hot,Jovian,gas,hydrogen-rich,non-habitable,3338.37,11.54,2.17,25.05,17.0,66.72755,78.07545999999999,91.9485,728.2,756.4,788.9,7242.6,-27.27,22.08,516.22,1.54,0.08,1.54,117.6,UMi,K4III,1.8,24.08,4340.0,184.570281,0.04,1.56,5.0,119.5,15.285,71.8239,-31.5,8.3671,1,0,10.921,27.186999999999998,-2.15,11.54,10.21,0.06,0.07,0,0,0,1,Radial Velocity
14 And b,Hot,Jovian,gas,hydrogen-rich,non-habitable,1694.62,11.68,1.06,12.41,12.04,84.5634,84.56341,84.56342,772.6,772.6,772.6,1800.5,-27.38,22.34,185.84,0.83,0.0,0.83,0.0,And,K0III,2.2,11.0,4813.0,58.25573000000001,-0.24,4.205140795802378,5.2,76.4,23.5214,39.2361,-31.6,7.0672,1,0,6.029,14.69,-2.2,9.2,6.65,0.08,0.09,0,0,0,1,Radial Velocity
14 Her b,Cold,Jovian,gas,hydrogen-rich,non-habitable,1475.24,11.68,0.93,10.82,11.24,0.02488932,0.05017497,0.1171233,101.2,117.3,149.0,1366.4,-19.35,22.33,1773.4,2.77,0.37,2.57,22.6,Her,K0 V,0.9,0.71,5311.0,0.357817,0.43,5.1,6.7,18.1,16.1731,43.8217,-23.5,0.1466,1,0,0.461,1.102,6.36,8.87,17.88,0.05,0.13,0,0,0,1,Radial Velocity
16 Cyg B b,Cold,Jovian,gas,hydrogen-rich,non-habitable,534.14,11.06,0.39,4.36,6.95,0.11834260000000002,0.4656991,3.4890019999999997,149.4,187.6,348.2,210.6,-21.94,21.15,799.5,1.68,0.69,1.22,83.4,Cyg,G2.5 V,1.01,0.98,5766.0,0.9524459999999999,0.08,8.0,6.2,21.41,19.6975,50.5175,-26.2,0.4289,1,0,0.733,1.7269999999999999,1.15,7.17,7.16,0.09,0.39,0,0,0,1,Radial Velocity
18 Del b,Hot,Jovian,gas,hydrogen-rich,non-habitable,3274.78,11.55,2.12,24.53,16.83,5.052827,5.912127,6.962639,382.0,396.8,413.8,6951.2,-24.46,22.1,993.3,2.6,0.08,2.59,166.1,Del,G6III,2.3,8.5,4979.0,39.83788,-0.052000000000000005,4.205140795802378,5.5,73.1,20.9739,10.8392,-28.7,1.7479,1,0,4.949,11.975,-1.67,11.45,14.59,0.05,0.2,0,0,0,1,Radial Velocity
24 Boo b,Hot,Jovian,gas,metals-rich,non-habitable,289.33,10.09,0.28,2.84,5.35,1485.4189999999999,1614.1729999999998,1757.259,1581.6,1614.3,1649.5,81.4,-30.28,19.27,30.35,0.19,0.04,0.19,210.0,Boo,G3IV,0.99,10.64,4893.0,58.220234,-77.0,4.205140795802378,5.6,100.0,14.4775,49.845,-34.8,30.2187,1,0,6.006,14.585,-2.36,6.34,0.85,0.13,0.12,0,0,0,1,Radial Velocity
24 Sex b,Hot,Jovian,gas,hydrogen-rich,non-habitable,632.7,11.25,0.44,5.0,7.5,6.8929350000000005,8.222184,9.88868,412.8,430.8,451.8,280.9,-24.76,21.51,452.8,1.3330000000000002,0.09,1.33,9.2,Sex,G5,1.54,4.9,5098.0,14.550614999999999,-0.03,2.7,7.4,74.8,10.3911,0.9022,-29.0,1.9669999999999999,2,0,2.9739999999999998,7.162000000000001,-1.78,7.41,5.25,0.1,0.21,0,0,0,1,Radial Velocity
24 Sex c,Hot,Jovian,gas,hydrogen-rich,non-habitable,273.43,9.99,0.27,2.74,5.23,2.0214990000000004,3.514242,6.671722999999999,303.8,343.2,409.5,75.1,-23.61,19.06,883.0,2.08,0.29,1.99,220.5,Sex,G5,1.54,4.9,5098.0,14.550614999999999,-0.03,2.7,7.4,74.8,10.3911,0.9022,-28.1,1.3118,2,0,2.9739999999999998,7.162000000000001,-1.42,6.26,3.66,0.12,0.35,0,0,0,1,Radial Velocity
30 Ari B b,Hot,Jovian,gas,hydrogen-rich,non-habitable,3141.25,11.58,2.03,23.44,16.47,1.458875,2.531428,4.793875,280.0,316.2,377.0,6362.4,-23.58,22.13,335.1,0.995,0.29,0.95,307.0,Ari,F6V,1.22,1.23,6484.0,2.3992310000000003,0.12,0.91,7.1,39.4,2.6161,24.6481,-27.8,0.6881,1,0,1.114,2.5860000000000003,-1.15,11.27,15.94,0.05,0.31,0,0,0,1,Radial Velocity
38 Vir b,Warm,Jovian,gas,hydrogen-rich,non-habitable,1433.91,11.68,0.9,10.52,11.08,0.9922981,1.053172,1.1188200000000001,254.3,258.0,262.0,1291.7,-22.59,22.33,825.9,1.82,0.03,1.82,0.0,Vir,F6 V,1.18,1.45,6557.0,3.486957,0.07,1.9,6.1,608.4120264650286,12.8864,-3.5531,-26.8,0.4248,1,1,1.337,3.102,-0.45,8.8,11.61,0.06,0.41,0,0,1,1,Primary Transit
42 Dra b,Hot,Jovian,gas,hydrogen-rich,non-habitable,1233.61,11.65,0.78,9.09,10.29,50.25558,103.4399,248.9079,678.3,789.4,1011.9,961.9,-27.68,22.28,479.1,1.19,0.38,1.1,218.7,Dra,K1.5III,0.98,22.03,4200.0,135.49270900000002,-0.46,9.49,4.8,97.3,18.4331,65.5636,-31.9,10.6812,1,0,9.395,23.546,-2.16,8.5,5.18,0.09,0.09,0,0,0,1,Radial Velocity
47 Uma b,Warm,Jovian,gas,hydrogen-rich,non-habitable,804.39,11.46,0.53,6.13,8.38,0.35399709999999995,0.3771968,0.4023415,196.5,199.6,202.9,430.0,-21.43,21.91,1078.0,2.1,0.03,2.1,334.0,UMa,G0V,1.03,1.24,5892.0,1.6625860000000001,0.0,7.4,5.1,13.97,10.9914,40.4294,-25.7,0.3148,3,1,0.961,2.258,0.76,7.77,9.73,0.07,0.35,0,0,0,1,Radial Velocity
47 Uma c,Cold,Jovian,gas,hydrogen-rich,non-habitable,171.69,9.01,0.23,2.11,4.36,0.10641760000000001,0.1289065,0.15767620000000002,145.5,152.4,160.5,40.3,-19.74,17.19,2391.0,3.6,0.1,3.58,295.0,UMa,G0V,1.03,1.24,5892.0,1.6625860000000001,0.0,7.4,5.1,13.97,10.9914,40.4294,-24.5,0.1844,3,1,0.961,2.258,3.08,5.63,5.1,0.11,0.27,0,0,0,1,Radial Velocity
47 Uma d,Cold,Jovian,gas,hydrogen-rich,non-habitable,521.42,11.03,0.39,4.28,6.87,0.00918359,0.01251699,0.01751094,78.9,84.8,92.7,202.4,-17.65,21.09,14002.0,11.6,0.16,11.45,110.0,UMa,G0V,1.03,1.24,5892.0,1.6625860000000001,0.0,7.4,5.1,13.97,10.9914,40.4294,-22.0,0.0577,3,1,0.961,2.258,15.47,7.14,12.64,0.05,0.12,0,0,0,1,Radial Velocity
51 Eri b,Cold,Jovian,gas,hydrogen-rich,non-habitable,2893.25,12.43,1.51,18.72,15.26,0.01966726,0.02944644,0.04613009,95.4,104.7,118.1,4356.6,-18.85,23.8,14965.0,14.0,0.21,13.69,90.0,Eri,F0IV,1.75,1.49,7300.0,5.6428,-0.027000000000000003,0.02,5.2,29.4,4.6267,-2.4735,-22.9,0.0581,1,0,1.6469999999999998,3.7960000000000003,10.57,11.9,26.9,0.03,0.1,0,0,0,1,Imaging
51 Peg b,Hot,Jovian,gas,metals-rich,non-habitable,149.43,21.28,0.02,0.33,2.65,590.7382,598.9285,607.2656,1256.0,1260.3,1264.7,2.3,-30.82,41.33,4.23,0.052000000000000005,0.01,0.05,54.1,Peg,G2 IV,1.11,1.27,5793.0,1.619464,0.2,4.0,5.5,14.7,22.9575,20.7686,-33.7,13.0026,1,0,0.9540000000000001,2.247,-2.4,18.21,-0.29,0.05,0.05,1,0,0,1,Radial Velocity
55 Cnc b,Hot,Jovian,gas,hydrogen-rich,non-habitable,267.07,9.94,0.27,2.7,5.18,45.02418,45.23154,45.44021,659.9,660.7,661.5,72.6,-26.34,18.98,14.65,0.1134,0.0,0.11,110.0,Cnc,K0IV-V,0.91,0.94,5196.0,0.581554,0.31,10.2,6.0,12.34,8.8769,28.3339,-30.9,4.4331,5,1,0.591,1.419,-2.15,6.23,2.17,0.13,0.15,1,0,0,1,Radial Velocity
55 Cnc c,Hot,Jovian,gas,metals-rich,non-habitable,56.72,6.56,0.2,1.32,2.94,8.983614999999999,10.34999,11.98713,441.1,456.5,474.0,11.4,-23.83,12.49,44.37,0.2374,0.07,0.24,356.0,Cnc,K0IV-V,0.91,0.94,5196.0,0.581554,0.31,10.2,6.0,12.34,8.8769,28.3339,-29.3,2.1229,5,1,0.591,1.419,-1.86,4.23,0.93,0.17,0.28,1,0,0,1,Radial Velocity
55 Cnc d,Cold,Jovian,gas,hydrogen-rich,non-habitable,1227.25,11.65,0.78,9.04,10.26,0.01859472,0.01961515,0.02070712,94.1,95.3,96.6,952.3,-18.24,22.28,4867.0,5.446000000000001,0.03,5.44,254.0,Cnc,K0IV-V,0.91,0.94,5196.0,0.581554,0.31,10.2,6.0,12.34,8.8769,28.3339,-22.4,0.0923,5,1,0.591,1.419,10.73,8.49,18.59,0.04,0.1,1,0,0,1,Radial Velocity
55 Cnc e,Hot,Superterran,rocky-water,metals-rich,non-habitable,8.1,1.99,1.03,2.05,2.02,2308.751,2440.741,2582.373,1766.0,1790.4,1816.1,8.3,-27.18,3.78,0.74,0.0154,0.03,0.02,170.0,Cnc,K0IV-V,0.91,0.94,5196.0,0.581554,0.31,10.2,6.0,12.34,8.8769,28.3339,-35.2,33.0178,5,1,0.591,1.419,-2.39,0.06,-0.81,0.28,0.26,1,0,0,1,Primary Transit
55 Cnc f,Warm,Neptunian,gas,hydrogen-rich,non-habitable,47.02,6.17,0.2,1.23,2.76,0.8338322,0.9756365,1.148995,243.5,252.9,263.8,9.4,-21.12,11.75,260.91,0.7733,0.08,0.77,139.0,Cnc,K0IV-V,0.91,0.94,5196.0,0.581554,0.31,10.2,6.0,12.34,8.8769,28.3339,-26.7,0.652,5,1,0.591,1.419,-0.56,4.03,1.62,0.19,0.6,1,0,0,1,Radial Velocity
61 Vir b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,5.09,1.66,1.1,1.84,1.75,234.718,296.5414,380.1633,997.2,1054.4,1125.0,5.6,-24.5,3.16,4.21,0.0502,0.12,0.05,105.0,Vir,G5V,0.95,0.94,5531.0,0.741925,-0.01,8.96,4.7,8.52,13.3067,-18.3111,-32.9,10.0643,3,0,0.6559999999999999,1.556,-2.35,-0.15,-0.69,0.29,0.27,1,0,0,1,Radial Velocity
61 Vir c,Hot,Neptunian,gas,metals-rich,non-habitable,18.22,4.51,0.2,0.9,2.01,12.0694,15.83946,21.20532,474.9,506.4,546.7,3.6,-23.48,8.57,38.02,0.2175,0.14,0.22,341.0,Vir,G5V,0.95,0.94,5531.0,0.741925,-0.01,8.96,4.7,8.52,13.3067,-18.3111,-29.8,2.3262,3,0,0.6559999999999999,1.556,-1.97,3.18,-0.01,0.21,0.3,1,0,0,1,Radial Velocity
61 Vir d,Hot,Neptunian,gas,metals-rich,non-habitable,22.89,4.87,0.2,0.97,2.17,1.797182,3.4956199999999997,7.750319999999999,295.0,340.0,425.1,4.5,-22.06,9.26,123.01,0.47600000000000003,0.35,0.45,314.0,Vir,G5V,0.95,0.94,5531.0,0.741925,-0.01,8.96,4.7,8.52,13.3067,-18.3111,-28.2,1.1235,3,0,0.6559999999999999,1.556,-1.38,3.36,0.5,0.21,0.48,1,0,0,1,Radial Velocity
70 Vir b,Hot,Jovian,gas,hydrogen-rich,non-habitable,2098.4,11.68,1.32,15.39,13.4,6.423269,14.5443,40.415409999999994,405.6,479.1,642.4,2764.7,-25.57,22.33,116.67,0.48,0.43,0.43,2.1,Vir,G4 V,0.92,1.97,5432.0,3.025375,-0.11,7.09,5.0,22.0,13.4739,13.7867,-29.8,2.4203,1,0,1.3319999999999999,3.17,-1.91,9.8,9.74,0.07,0.14,1,0,0,1,Radial Velocity
75 Cet b,Hot,Jovian,gas,hydrogen-rich,non-habitable,953.82,11.56,0.62,7.14,9.08,12.369819999999999,12.369819999999999,12.369819999999999,477.8,477.8,477.8,588.8,-25.26,22.11,691.9,2.1,0.0,2.1,0.0,Cet,G3III,2.49,10.5,4846.0,54.550918,0.0,4.205140795802378,5.4,81.5,2.5358,-1.035,-29.5,2.6648,1,0,5.8260000000000005,14.175,-1.89,8.04,6.3,0.09,0.17,0,0,0,1,Radial Velocity
81 Cet b,Hot,Jovian,gas,hydrogen-rich,non-habitable,1685.08,11.68,1.06,12.34,12.01,16.83748,25.0215,38.83791,516.1,565.2,636.0,1780.3,-26.07,22.34,952.7,2.5,0.21,2.45,175.0,Cet,G5III,2.4,18.0,4790.0,153.030103,-0.06,4.205140795802378,5.7,97.2,2.6283,-3.3961,-30.3,3.9219,1,0,9.782,23.855999999999998,-2.03,9.18,7.97,0.08,0.12,0,0,0,1,Radial Velocity
91 Aqr b,Hot,Jovian,gas,hydrogen-rich,non-habitable,1017.41,11.59,0.65,7.57,9.37,60.10398000000001,63.41486,66.95869,709.4,718.8,728.8,664.8,-27.05,22.16,181.4,0.7,0.03,0.7,177.3,Aqr,K0 III,2.5,8.55,4665.0,31.06195,-0.03,3.56,4.2,45.9,23.2647,-9.0875,-31.3,6.5151,1,0,4.43,10.862,-2.16,8.15,5.03,0.09,0.1,0,0,0,1,Radial Velocity
AB Pic b,Cold,Jovian,gas,hydrogen-rich,non-habitable,4292.19,11.37,2.92,33.19,19.43,6.35e-06,6.35e-06,6.35e-06,12.8,12.8,12.8,12525.9,-9.42,21.74,720.5573964013066,275.0,0.0,275.0,0.0,Pic,K2 V,0.9725653896961726,0.98,4875.0,0.48053199999999996,-0.64,0.03,9.2,47.3,6.32,-58.0542,-13.7,0.0019,1,0,0.546,1.327,701.84,12.78,103.28,0.0,0.06,0,0,0,1,Imaging
Aldebaran b,Hot,Jovian,gas,hydrogen-rich,non-habitable,2057.07,11.68,1.29,15.08,13.27,191.3177,232.6393,285.7693,947.5,993.1,1047.5,2655.8,-28.49,22.34,628.96,1.46,0.1,1.45,287.0,Tau,K5III,1.13,45.1,4055.0,493.408199,-0.27,6.6,0.8,20.43,4.5986,16.5092,-32.7,16.602999999999998,1,0,17.994,45.42,-2.21,9.73,6.4,0.08,0.07,0,0,0,1,Radial Velocity
alf Ari b,Hot,Jovian,gas,hydrogen-rich,non-habitable,572.29,11.15,0.41,4.61,7.17,33.11425,53.42722,91.96552,611.2,680.5,789.0,236.5,-26.81,21.3,380.8,1.2,0.25,1.16,89.2,Ari,K2III,1.5,13.9,4553.0,74.492062,-0.09,4.205140795802378,2.0,20.2,2.1194,23.4622,-31.1,6.3787,1,0,6.888999999999999,16.979,-2.13,7.27,3.53,0.11,0.12,0,0,0,1,Radial Velocity
alf Cen B b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.14,1.09,0.89,0.97,1.03,308.7997,308.7997,308.7998,1068.0,1068.0,1068.0,1.0,-23.61,2.06,3.24,0.04,0.0,0.04,0.0,Cen,K1V,0.93,0.86,5214.0,0.49408,-0.06071394910461842,4.205140795802378,1.3,1.29,14.6597,-60.8375,-33.0,11.5197,1,0,0.545,1.306,-2.33,-0.17,-1.12,0.28,0.3,0,0,0,1,Radial Velocity
AS 205 A b,Hot,Jovian,gas,hydrogen-rich,non-habitable,6120.35,10.99,4.61,50.66,23.6,87.81787,170.8106,378.7131,779.9,899.0,1123.9,28208.8,-28.08,21.01,24.84,0.162,0.35,0.15,94.1,Sco,K5,0.9,3.7,4300.0,4.199205,0.0,4.205140795802378,12.4,140.0,16.1919,-18.6403,-32.4,13.0214,1,0,1.649,4.114,-2.21,15.02,13.18,0.05,0.06,0,0,0,1,Radial Velocity
BD+03 2562 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,2034.82,11.68,1.28,14.91,13.2,108.512,159.4528,244.1111,822.3,898.4,1007.0,2598.2,-28.09,22.34,481.9,1.3,0.2,1.27,218.0,Vir,K,1.14,32.35,4095.0,264.03051,-0.71,5.25,9.6,2618.0,11.8377,2.7601,-32.3,13.5665,1,0,13.15,33.128,-2.19,9.7,6.73,0.08,0.08,0,0,0,1,Radial Velocity
BD+14 4559 b,Warm,Jovian,gas,hydrogen-rich,non-habitable,467.37,10.89,0.36,3.94,6.55,0.34675029999999996,0.6028023,1.144409,195.5,220.8,263.5,169.2,-21.88,20.81,268.94,0.777,0.29,0.74,87.6,Peg,K2V,0.86,0.79,5008.0,0.34828899999999996,0.1,4.205140795802378,9.6,50.0,21.2267,14.6894,-26.2,0.565,1,1,0.462,1.117,-0.01,6.99,6.68,0.09,0.43,1,0,0,1,Radial Velocity
