P. Name,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Omega (deg),S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method
Kepler-403 c,Hot,Superterran,rocky-iron,metals-rich,non-habitable,6.1,1.75,1.14,2.0,1.87,24.748520000000003,24.74853,24.74853,568.2,568.2,568.2,7.0,-21.89,3.32,54.28,0.297,0.0,0.3,0.0,Cyg,F,1.19,1.33,6090.0,2.183043,-0.145,4.205140795802378,12.237222991689753,608.4120264650286,19.3281,46.7446,-30.2,2.3866,3,0,1.088,2.544,-2.09,-0.14,-0.21,0.32,0.32,0,0,0,1,Primary Transit
Kepler-404 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.92,1.27,0.95,1.2,1.23,68.24611999999999,68.24614,68.24615,732.3,732.3,732.3,1.8,-22.29,2.41,11.83,0.102,0.0,0.1,0.0,Lyr,G,1.01,0.88,5654.0,0.710033,-0.009000000000000001,4.205140795802378,12.237222991689753,608.4120264650286,19.0932,45.3435,-31.3,4.5989,2,0,0.637,1.506,-2.23,-0.16,-0.85,0.29,0.31,0,0,0,1,Primary Transit
Kepler-404 c,Hot,Superterran,rocky-iron,metals-rich,non-habitable,5.68,1.71,1.13,1.93,1.82,50.99344,50.99345,50.99346,680.8,680.8,680.8,6.4,-22.64,3.26,14.75,0.11800000000000001,0.0,0.12,0.0,Lyr,G,1.01,0.88,5654.0,0.710033,-0.009000000000000001,4.205140795802378,12.237222991689753,608.4120264650286,19.0932,45.3435,-31.0,3.9751,2,0,0.637,1.506,-2.19,-0.15,-0.38,0.31,0.3,0,0,0,1,Primary Transit
Kepler-405 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,12.15,2.08,1.34,2.8,2.41,90.22305,90.22306,90.22306,785.2,785.2,785.2,16.3,-23.69,3.96,10.61,0.095,0.0,0.1,0.0,Lyr,G,1.02,0.89,5818.0,0.814263,-0.131,4.205140795802378,12.237222991689753,608.4120264650286,19.4273,38.34,-31.6,4.9942,2,0,0.6759999999999999,1.59,-2.27,-0.13,-0.06,0.31,0.27,0,0,0,1,Primary Transit
Kepler-405 c,Hot,Neptunian,gas,metals-rich,non-habitable,20.11,4.66,0.2,0.93,2.08,23.03823,23.03823,23.03823,558.2,558.2,558.2,4.0,-23.95,8.86,29.73,0.188,0.0,0.19,0.0,Lyr,G,1.0,0.89,5818.0,0.814263,-0.131,4.205140795802378,12.237222991689753,608.4120264650286,19.4273,38.34,-30.2,2.5231,2,0,0.6759999999999999,1.59,-2.07,3.25,-0.03,0.21,0.21,0,0,0,1,Primary Transit
Kepler-406 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,6.36,1.43,2.16,3.09,2.11,739.9525,739.9528,739.9529,1328.8,1328.8,1328.8,13.7,-25.17,2.72,2.43,0.0361,0.0,0.04,0.0,Cyg,G,1.07,1.07,5538.0,0.966205,0.18,5.84,12.5,608.4120264650286,19.4565,44.9682,-33.9,15.8304,2,0,0.748,1.775,-2.39,-0.79,-0.61,0.28,0.28,0,0,0,1,Primary Transit
Kepler-406 c,Hot,Terran,iron,metals-rich,non-habitable,2.71,0.85,4.4,3.74,1.78,313.2244,313.2244,313.2245,1071.8,1071.8,1071.8,11.9,-23.09,1.62,4.62,0.0555,0.0,0.06,0.0,Cyg,G,1.07,1.07,5538.0,0.966205,0.18,5.84,12.5,608.4120264650286,19.4565,44.9682,-33.0,10.2806,2,0,0.748,1.775,-2.35,-1.49,-0.68,0.26,0.3,0,0,0,1,Primary Transit
Kepler-408 b,Hot,Subterran,iron,metals-rich,non-habitable,6.36,0.82,11.63,9.51,2.79,1331.6870000000001,1331.6870000000001,1331.6870000000001,1539.0,1539.0,1539.0,74.0,-24.58,1.55,2.57,0.0376,0.0,0.04,0.0,Dra,F,1.08,1.23,6104.0,1.8843349999999999,-0.2,6.68,9.0,608.4120264650286,18.9858,48.4231,-34.6,17.4934,1,0,1.01,2.3609999999999998,-2.44,-1.98,-0.36,0.24,0.29,0,0,0,1,Primary Transit
Kepler-409 b,Hot,Terran,iron,hydrogen-rich,non-habitable,22.0,1.19,13.15,15.61,4.3,6.167555,6.167555999999999,6.1675580000000005,401.5,401.5,401.5,289.3,-19.53,2.26,68.96,0.32,0.0,0.32,0.0,Cyg,G,0.92,0.89,5460.0,0.6315970000000001,0.08,6.98,9.4,66.8,19.5786,46.8528,-28.7,1.4822,1,0,0.608,1.445,-1.69,-1.84,2.42,0.22,0.49,0,0,0,1,Primary Transit
Kepler-410 A b,Hot,Neptunian,gas,metals-rich,non-habitable,4.41,2.84,0.19,0.55,1.25,140.8977,195.6952,279.9341,877.8,947.7,1042.1,0.9,-25.22,5.39,17.83,0.1236,0.17,0.12,270.0,Lyr,F,1.3,1.41,6375.0,2.946109,0.09,2.76,9.5,132.0,18.8767,45.1397,-32.5,6.1722,1,0,1.242,2.889,-2.36,2.49,-0.95,0.22,0.22,0,0,0,1,Primary Transit
Kepler-411 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,8.1,1.88,1.22,2.29,2.08,237.3559,237.3559,237.3559,1000.0,1000.0,1000.0,9.9,-24.52,3.58,3.01,0.038,0.0,0.04,360.0,Cyg,K,0.83,0.79,4974.0,0.342742,0.23,4.205140795802378,12.5,608.4120264650286,19.1737,49.5233,-32.7,11.0964,2,0,0.45899999999999996,1.111,-2.29,-0.14,-0.46,0.3,0.27,0,0,0,1,Primary Transit
Kepler-411 c,Hot,Neptunian,gas,metals-rich,non-habitable,6.9,3.27,0.2,0.64,1.45,65.14577,65.14577,65.1458,723.8,723.8,723.8,1.4,-24.32,6.22,7.83,0.0725,0.0,0.07,0.0,Cyg,K,0.83,0.79,4974.0,0.342742,-0.06071394910461842,4.205140795802378,12.2,608.4120264650286,19.1737,49.5233,-31.3,5.8067,2,0,0.45899999999999996,1.111,-2.19,2.64,-0.69,0.22,0.22,0,0,0,1,Transit
Kepler-412 b,Hot,Jovian,gas,metals-rich,non-habitable,298.55,14.84,0.09,1.36,4.49,1841.3470000000002,1855.374,1869.5420000000001,1668.9,1672.1,1675.2,27.3,-31.27,28.49,1.72,0.0296,0.0,0.03,125.0,Lyr,G3V,1.17,1.29,5750.0,1.624495,0.27,5.1,13.7,1056.0,19.0739,43.6808,-34.9,23.3401,1,0,0.958,2.259,-2.43,10.85,0.39,0.08,0.06,0,0,0,1,Primary Transit
